iter	Passed	Remaining
0	0	57
1	1	51
2	1	49
3	1	45
4	2	44
5	2	44
6	3	44
7	3	44
8	4	43
9	4	43
10	5	42
11	5	41
12	6	40
13	6	40
14	7	40
15	7	39
16	7	38
17	8	37
18	8	36
19	9	36
20	9	35
21	9	35
22	10	34
23	10	34
24	11	34
25	11	33
26	12	33
27	12	33
28	13	32
29	13	31
30	13	30
31	14	30
32	14	29
33	14	29
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	23
43	18	23
44	19	23
45	19	22
46	19	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	17
57	24	17
58	24	16
59	24	16
60	25	16
61	25	15
62	25	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	29	12
70	29	12
71	29	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	32	9
78	33	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
