iter	Passed	Remaining
0	47	47210
1	47	23836
2	48	16048
3	48	12129
4	49	9792
5	49	8232
6	50	7117
7	50	6280
8	51	5629
9	51	5112
10	52	4686
11	52	4331
12	53	4030
13	53	3773
14	54	3549
15	54	3353
16	55	3181
17	55	3028
18	55	2891
19	56	2766
20	56	2654
21	57	2549
22	57	2456
23	58	2370
24	58	2292
25	59	2219
26	59	2152
27	60	2085
28	60	2023
29	60	1964
30	61	1910
31	61	1859
32	61	1811
33	62	1766
34	62	1727
35	63	1690
36	63	1655
37	64	1622
38	64	1591
39	65	1561
40	65	1532
41	65	1505
42	66	1478
43	66	1451
44	67	1425
45	68	1414
46	68	1390
47	68	1366
48	69	1344
49	69	1322
50	69	1302
51	70	1282
52	70	1263
53	71	1244
54	71	1228
55	71	1213
56	72	1198
57	72	1182
58	73	1166
59	73	1151
60	74	1139
61	74	1126
62	74	1114
63	75	1102
64	76	1101
65	77	1090
66	77	1080
67	78	1069
68	78	1059
69	78	1049
70	79	1039
71	79	1029
72	80	1020
73	80	1011
74	81	1003
75	81	994
76	82	985
77	82	977
78	83	969
79	83	961
80	84	954
81	84	946
82	85	949
83	89	979
84	90	972
85	90	965
86	91	957
87	91	950
88	92	943
89	92	937
90	93	930
91	93	924
92	94	918
93	94	911
94	95	905
95	95	899
96	96	893
97	99	919
98	101	923
99	101	917
100	102	911
101	102	905
102	103	899
103	103	894
104	104	888
105	104	883
106	105	878
107	105	872
108	106	867
109	106	862
110	107	857
111	108	861
112	112	883
113	113	879
114	113	874
115	114	869
116	114	862
117	114	858
118	115	853
119	115	848
120	116	844
121	116	838
122	117	834
123	117	830
124	117	825
125	118	821
126	118	815
127	119	811
128	119	806
129	119	802
130	120	797
131	120	792
132	120	788
133	121	783
134	121	779
135	121	774
136	122	770
137	122	766
138	123	762
139	123	759
140	124	756
141	124	751
142	124	748
143	125	744
144	125	741
145	126	738
146	126	735
147	127	731
148	127	728
149	128	725
150	128	722
151	129	719
152	129	716
153	129	713
154	130	710
155	130	706
156	130	703
157	131	699
158	131	696
159	131	692
160	132	688
161	132	685
162	132	682
163	133	678
164	133	675
165	133	672
166	134	669
167	134	666
168	134	663
169	135	660
170	135	658
171	136	655
172	136	652
173	136	649
174	137	647
175	137	644
176	138	642
177	138	640
178	139	638
179	139	635
180	140	633
181	140	631
182	141	629
183	141	627
184	141	625
185	142	623
186	142	620
187	143	618
188	143	616
189	144	614
190	144	612
191	144	610
192	145	607
193	145	605
194	146	602
195	146	600
196	146	598
197	147	595
198	147	593
199	147	591
200	148	588
201	148	586
202	148	584
203	149	582
204	149	579
205	149	577
206	150	575
207	150	573
208	150	571
209	151	568
210	151	567
211	152	565
212	152	563
213	153	562
214	153	560
215	154	559
216	154	557
217	154	555
218	155	554
219	155	552
220	156	550
221	156	548
222	156	546
223	157	544
224	157	542
225	157	540
226	158	538
227	158	536
228	158	534
229	159	533
230	159	532
231	160	530
232	160	529
233	161	527
234	161	526
235	162	524
236	162	523
237	163	521
238	163	520
239	163	519
240	164	517
241	164	516
242	165	515
243	165	513
244	166	511
245	166	510
246	166	508
247	167	506
248	167	505
249	167	503
250	168	501
251	168	500
252	168	498
253	169	496
254	169	495
255	169	493
256	170	492
257	170	490
258	170	489
259	171	487
260	171	486
261	172	484
262	172	483
263	173	482
264	173	481
265	174	480
266	174	479
267	174	477
268	175	476
269	175	475
270	176	474
271	176	473
272	177	472
273	177	470
274	177	469
275	178	467
276	178	466
277	179	464
278	179	463
279	179	462
280	180	460
281	180	459
282	180	457
283	181	456
284	181	455
285	181	453
286	182	452
287	182	451
288	182	450
289	183	449
290	183	447
291	184	446
292	184	445
293	185	444
294	185	443
295	186	442
296	186	441
297	187	440
298	187	439
299	188	438
300	188	437
301	188	436
302	189	435
303	189	434
304	189	432
305	190	431
306	190	430
307	190	428
308	191	427
309	191	426
310	191	425
311	192	424
312	192	422
313	193	421
314	193	420
315	193	419
316	194	418
317	194	417
318	195	416
319	195	415
320	196	414
321	196	413
322	197	413
323	197	412
324	197	411
325	198	410
326	198	409
327	199	408
328	199	407
329	200	406
330	200	404
331	200	403
332	201	402
333	201	401
334	201	400
335	202	399
336	202	398
337	202	397
338	203	395
339	203	394
340	203	393
341	204	392
342	204	391
343	204	390
344	205	389
345	205	389
346	206	388
347	206	387
348	207	386
349	207	385
350	208	384
351	208	383
352	209	383
353	209	382
354	209	381
355	210	380
356	210	379
357	211	378
358	211	377
359	211	376
360	212	375
361	212	374
362	212	373
363	213	372
364	213	371
365	213	370
366	214	369
367	214	368
368	214	367
369	215	366
370	215	365
371	216	364
372	216	363
373	217	363
374	217	362
375	217	361
376	218	360
377	218	360
378	220	360
379	220	360
380	221	359
381	221	358
382	221	357
383	222	356
384	222	355
385	222	354
386	223	353
387	223	352
388	223	351
389	224	350
390	224	350
391	225	349
392	225	348
393	226	347
394	226	347
395	227	346
396	227	345
397	228	344
398	228	344
399	228	343
400	229	342
401	229	341
402	229	340
403	230	339
404	230	338
405	230	337
406	231	336
